trialId,mean,std,count_nonzero
Blue 1,3.3691938791392646,1.2088402516721866,23
Blue 2,4.132400092125464,2.3286072663991564,19
Blue 3,4.152744234570052,1.6906859672253953,22
Blue 4,3.4032881201403895,1.3010748722300458,22
Green 1,4.079713725937726,2.2401406167276106,21
Green 2,3.466562667370662,1.330810580571204,23
Green 3,4.454508118030326,1.3857321497024584,23
Green 4,3.207433672212154,1.4807547282106364,23
Red 1,3.728495003107183,1.378739171998208,23
Red 2,3.516033896357667,1.2864912867785496,21
Red 3,3.5157113011573813,1.401135148432582,23
Red 4,3.380873320374649,1.786377512650763,20
